make,model,category,horsepower,acceleration
HONDA,CIVIC,SEDAN,180,7
HONDA,ACCORD,SEDAN,192,7.3
HONDA,PILOT,SUV,280,6.2
HONDA,CR-V,SUV,190,7.6
HONDA,FIT,HATCHBACK,130,8.2
HONDA,CIVIC TYPE-R,PERFORMANCE,306,4.9
MAZDA,3,SEDAN,184,7
MAZDA,6,SEDAN,184,7.3
MAZDA,MX-5,PERFORMANCE,155,6.1
MAZDA,CX-3,SUV,146,8.1
MAZDA,CX-5,SUV,187,8.1
MAZDA,CX-9,SUV,250,7.2
HYUNDAI,ACCENT,SEDAN,230,8.9
HYUNDAI,ELANTRA,SEDAN,128,7.9
HYUNDAI,SONATA,SEDAN,245,6.8
HYUNDAI,AZERA,SEDAN,293,6.2
HYUNDAI,VELOSTER,HATCHBACK,201,7.2
HYUNDAI,TUCSON,SUV,164,7.9
HYUNDAI,SANTA FE,SUV,290,7.3
HYUNDAI,KONA,SUV,147,8
TOYOTA,COROLLA,SEDAN,132,9.5
TOYOTA,CAMRY,SEDAN,176,7.8
TOYOTA,YARIS,HATCHBACK,106,8.7
TOYOTA,AVALON,SEDAN,268,6.2
TOYOTA,86,PERFORMANCE,200,7.7
TOYOTA,C-HR,SUV,144,11
TOYOTA,RAV4,SUV,176,8.4
TOYOTA,HIGHLANDER,SUV,295,7
TOYOTA,4RUNNER,SUV,270,7.5
TOYOTA,SEQUOIA,SUV,381,6.7
TOYOTA,LAND CRUISER,SUV,381,6.7
SUBARU,IMPREZA,SEDAN,152,8.4
SUBARU,LEGACY,SEDAN,175,8.6
SUBARU,CROSSTREK,SUV,152,9.2
SUBARU,FORESTER,SUV,175,6.3
SUBARU,OUTBACK,SUV,256,7.1
SUBARU,BR-Z,PERFORMANCE,200,7.7
SUBARU,WRX,PERFORMANCE,268,5.5
SUBARU,ASCENT,SUV,260,7.3
BMW,3,SEDAN,240,5.2
BMW,4,SEDAN,240,5.3
BMW,5,SEDAN,248,6
BMW,6,SEDAN,315,4.9
BMW,7,SEDAN,320,5.2
BMW,X2,SUV,228,6.4
BMW,X3,SUV,248,6.2
BMW,X4,SUV,248,6
BMW,X5,SUV,300,5.8
BMW,X6,SUV,300,5.7
BMW,M2,PERFORMANCE,365,4
BMW,M3,PERFORMANCE,444,4
BMW,M4,PERFORMANCE,444,3.8
BMW,M5,PERFORMANCE,600,2.8
BMW,M6,PERFORMANCE,560,4
AUDI,A3,SEDAN,220,5.4
AUDI,A4,SEDAN,252,5.2
AUDI,A5,SEDAN,252,5
AUDI,A6,SEDAN,340,5.2
AUDI,A7,SEDAN,340,4.4
AUDI,A8,SEDAN,340,5.5
AUDI,Q3,SUV,200,7.8
AUDI,Q5,SUV,252,5.8
AUDI,Q7,SUV,252,7
AUDI,RS3,PERFORMANCE,400,3.5
AUDI,RS7,PERFORMANCE,605,3.2
AUDI,RS5,PERFORMANCE,444,3.9
AUDI,TTS,PERFORMANCE,292,4.2
KIA,OPTIMA,SEDAN,185,8
KIA,STINGER,PERFORMANCE,365,4.4
KIA,CADENZA,SEDAN,290,6.7
KIA,K900,SEDAN,311,6.2
KIA,SOUL,SUV,201,6.5
KIA,NIRO,SUV,139,9
KIA,SPORTAGE,SUV,237,6.9
KIA,SORENTO,SUV,290,7.2
KIA,RIO,SEDAN,130,8.5
KIA,FORTE,SUV,147,8.7
FORD,FIESTA,SEDAN,120,9.1
FORD,FOCUS,HATCHBACK,160,8.5
FORD,FUSION,SEDAN,175,8.9
FORD,C-MAX,SUV,188,7.6
FORD,MUSTANG,PERFORMANCE,460,4.3
FORD,TAURUS,SEDAN,240,7.4
FORD,ECOSPORT,SUV,123,10
FORD,ESCAPE,SUV,245,7.1
FORD,EDGE,SUV,280,7.6
FORD,FLEX,SUV,365,6.2
FORD,EXPLORER,SUV,365,5.8
FORD,FOCUS RS,PERFORMANCE,350,4.6
CHEVROLET,SPARK,HATCHBACK,98,10.8
CHEVROLET,CRUZE,SEDAN,137,8.2
CHEVROLET,MALIBU,SEDAN,250,6.1
CHEVROLET,IMPALA,SEDAN,196,8.7
CHEVROLET,TRAX,SUV,138,9.3
CHEVROLET,EQUINOX,SUV,252,6.6
CHEVROLET,TRAVERSE,SUV,310,6.5
CHEVROLET,TAHOE,SUV,420,5.7
CHEVROLET,SUBURBAN,SUV,355,7.1
CHEVROLET,CAMARO,PERFORMANCE,455,4.1
CHEVROLET,CORVETTE,PERFORMANCE,460,3.9
